"Statistic Label","Year","Settlements","UNIT","VALUE"
"Number of New Dwelling Completions","2012","Aughnacliffe, Co Longford","Number","0"
"Number of New Dwelling Completions","2012","Killashee, Co Longford","Number","0"
"Number of New Dwelling Completions","2012","Ardee, Co Louth","Number","5"
"Number of New Dwelling Completions","2012","Castlebellingham-Kilsaran, Co Louth","Number","0"
"Number of New Dwelling Completions","2012","Collon, Co Louth","Number","1"
"Number of New Dwelling Completions","2012","Dromiskin, Co Louth","Number","3"
"Number of New Dwelling Completions","2012","Dunleer, Co Louth","Number","0"
"Number of New Dwelling Completions","2012","Tallanstown, Co Louth","Number","0"
"Number of New Dwelling Completions","2012","Dundalk, Co Louth","Number","25"
"Number of New Dwelling Completions","2012","Carlingford, Co Louth","Number","7"
"Number of New Dwelling Completions","2012","Jenkinstown, Co Louth","Number","3"
"Number of New Dwelling Completions","2012","Knockbridge, Co Louth","Number","1"
"Number of New Dwelling Completions","2012","OMeath, Co Louth","Number","0"
"Number of New Dwelling Completions","2012","Louth, Co Louth","Number","0"
"Number of New Dwelling Completions","2012","Clogherhead, Co Louth","Number","0"
"Number of New Dwelling Completions","2012","Tullyallen, Co Louth","Number","5"
"Number of New Dwelling Completions","2012","Baltray, Co Louth","Number","1"
"Number of New Dwelling Completions","2012","Termonfeckin, Co Louth","Number","3"
"Number of New Dwelling Completions","2012","Tinure, Co Louth","Number","0"
"Number of New Dwelling Completions","2012","Annagassan, Co Louth","Number","0"
"Number of New Dwelling Completions","2012","Beaulieu, Co Louth","Number","1"
"Number of New Dwelling Completions","2012","Lordship, Co Louth","Number","2"
"Number of New Dwelling Completions","2012","Drumconrath, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Ashbourne, Co Meath","Number","17"
"Number of New Dwelling Completions","2012","Dunboyne, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Dunshaughlin, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Ratoath, Co Meath","Number","1"
"Number of New Dwelling Completions","2012","Kilcloon, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Kilmessan, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Ceanannas Mór (Kells), Co Meath","Number","1"
"Number of New Dwelling Completions","2012","Nobber, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Duleek, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Gormanston, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Laytown-Bettystown-Mornington-Donacarney, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Stamullen, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","Julianstown, Co Meath","Number","0"
"Number of New Dwelling Completions","2012","An Uaimh (Navan), Co Meath","Number","15"
