"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C01921V02511","Type of Construction","UNIT","VALUE"
"BHQ03C1","Planning Permissions Granted","19793","1979Q3","2","Extensions","Number","3452"
"BHQ03C1","Planning Permissions Granted","19793","1979Q3","3","Alteration, conversion and renovation","Number","955"
"BHQ03C1","Planning Permissions Granted","19794","1979Q4","-","All types of construction","Number","8935"
"BHQ03C1","Planning Permissions Granted","19794","1979Q4","11","Dwellings","Number","3927"
"BHQ03C1","Planning Permissions Granted","19794","1979Q4","12","Other new construction (excluding dwellings)","Number","1318"
"BHQ03C1","Planning Permissions Granted","19794","1979Q4","2","Extensions","Number","3003"
"BHQ03C1","Planning Permissions Granted","19794","1979Q4","3","Alteration, conversion and renovation","Number","687"
"BHQ03C1","Planning Permissions Granted","19801","1980Q1","-","All types of construction","Number","7537"
"BHQ03C1","Planning Permissions Granted","19801","1980Q1","11","Dwellings","Number","3384"
"BHQ03C1","Planning Permissions Granted","19801","1980Q1","12","Other new construction (excluding dwellings)","Number","1183"
"BHQ03C1","Planning Permissions Granted","19801","1980Q1","2","Extensions","Number","2462"
"BHQ03C1","Planning Permissions Granted","19801","1980Q1","3","Alteration, conversion and renovation","Number","508"
"BHQ03C1","Planning Permissions Granted","19802","1980Q2","-","All types of construction","Number","8878"
"BHQ03C1","Planning Permissions Granted","19802","1980Q2","11","Dwellings","Number","3999"
"BHQ03C1","Planning Permissions Granted","19802","1980Q2","12","Other new construction (excluding dwellings)","Number","1199"
"BHQ03C1","Planning Permissions Granted","19802","1980Q2","2","Extensions","Number","3034"
"BHQ03C1","Planning Permissions Granted","19802","1980Q2","3","Alteration, conversion and renovation","Number","646"
"BHQ03C1","Planning Permissions Granted","19803","1980Q3","-","All types of construction","Number","8759"
"BHQ03C1","Planning Permissions Granted","19803","1980Q3","11","Dwellings","Number","3944"
"BHQ03C1","Planning Permissions Granted","19803","1980Q3","12","Other new construction (excluding dwellings)","Number","1266"
"BHQ03C1","Planning Permissions Granted","19803","1980Q3","2","Extensions","Number","2896"
"BHQ03C1","Planning Permissions Granted","19803","1980Q3","3","Alteration, conversion and renovation","Number","653"
"BHQ03C1","Planning Permissions Granted","19804","1980Q4","-","All types of construction","Number","7197"
"BHQ03C1","Planning Permissions Granted","19804","1980Q4","11","Dwellings","Number","3020"
"BHQ03C1","Planning Permissions Granted","19804","1980Q4","12","Other new construction (excluding dwellings)","Number","1127"
"BHQ03C1","Planning Permissions Granted","19804","1980Q4","2","Extensions","Number","2388"
"BHQ03C1","Planning Permissions Granted","19804","1980Q4","3","Alteration, conversion and renovation","Number","662"
"BHQ03C1","Planning Permissions Granted","19811","1981Q1","-","All types of construction","Number","6561"
"BHQ03C1","Planning Permissions Granted","19811","1981Q1","11","Dwellings","Number","2970"
"BHQ03C1","Planning Permissions Granted","19811","1981Q1","12","Other new construction (excluding dwellings)","Number","1073"
"BHQ03C1","Planning Permissions Granted","19811","1981Q1","2","Extensions","Number","1867"
"BHQ03C1","Planning Permissions Granted","19811","1981Q1","3","Alteration, conversion and renovation","Number","651"
"BHQ03C1","Planning Permissions Granted","19812","1981Q2","-","All types of construction","Number","7855"
"BHQ03C1","Planning Permissions Granted","19812","1981Q2","11","Dwellings","Number","3707"
"BHQ03C1","Planning Permissions Granted","19812","1981Q2","12","Other new construction (excluding dwellings)","Number","1126"
"BHQ03C1","Planning Permissions Granted","19812","1981Q2","2","Extensions","Number","2330"
"BHQ03C1","Planning Permissions Granted","19812","1981Q2","3","Alteration, conversion and renovation","Number","692"
"BHQ03C1","Planning Permissions Granted","19813","1981Q3","-","All types of construction","Number","8884"
"BHQ03C1","Planning Permissions Granted","19813","1981Q3","11","Dwellings","Number","4062"
"BHQ03C1","Planning Permissions Granted","19813","1981Q3","12","Other new construction (excluding dwellings)","Number","1333"
"BHQ03C1","Planning Permissions Granted","19813","1981Q3","2","Extensions","Number","2755"
"BHQ03C1","Planning Permissions Granted","19813","1981Q3","3","Alteration, conversion and renovation","Number","734"
"BHQ03C1","Planning Permissions Granted","19814","1981Q4","-","All types of construction","Number","7507"
"BHQ03C1","Planning Permissions Granted","19814","1981Q4","11","Dwellings","Number","3532"
"BHQ03C1","Planning Permissions Granted","19814","1981Q4","12","Other new construction (excluding dwellings)","Number","1124"
"BHQ03C1","Planning Permissions Granted","19814","1981Q4","2","Extensions","Number","2167"
"BHQ03C1","Planning Permissions Granted","19814","1981Q4","3","Alteration, conversion and renovation","Number","684"
"BHQ03C1","Planning Permissions Granted","19821","1982Q1","-","All types of construction","Number","7187"
"BHQ03C1","Planning Permissions Granted","19821","1982Q1","11","Dwellings","Number","3223"
"BHQ03C1","Planning Permissions Granted","19821","1982Q1","12","Other new construction (excluding dwellings)","Number","1148"
"BHQ03C1","Planning Permissions Granted","19821","1982Q1","2","Extensions","Number","2107"
"BHQ03C1","Planning Permissions Granted","19821","1982Q1","3","Alteration, conversion and renovation","Number","709"
"BHQ03C1","Planning Permissions Granted","19822","1982Q2","-","All types of construction","Number","8234"
