"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C01921V02511","Type of Construction","UNIT","VALUE"
"BHQ03C2","Total Floor Area for which Permission Granted","19773","1977Q3","12","Other new construction (excluding dwellings)","000 Sq Metres","317"
"BHQ03C2","Total Floor Area for which Permission Granted","19773","1977Q3","2","Extensions","000 Sq Metres","167"
"BHQ03C2","Total Floor Area for which Permission Granted","19773","1977Q3","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19774","1977Q4","-","All types of construction","000 Sq Metres","1155"
"BHQ03C2","Total Floor Area for which Permission Granted","19774","1977Q4","11","Dwellings","000 Sq Metres","682"
"BHQ03C2","Total Floor Area for which Permission Granted","19774","1977Q4","12","Other new construction (excluding dwellings)","000 Sq Metres","316"
"BHQ03C2","Total Floor Area for which Permission Granted","19774","1977Q4","2","Extensions","000 Sq Metres","157"
"BHQ03C2","Total Floor Area for which Permission Granted","19774","1977Q4","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19781","1978Q1","-","All types of construction","000 Sq Metres","1153"
"BHQ03C2","Total Floor Area for which Permission Granted","19781","1978Q1","11","Dwellings","000 Sq Metres","697"
"BHQ03C2","Total Floor Area for which Permission Granted","19781","1978Q1","12","Other new construction (excluding dwellings)","000 Sq Metres","288"
"BHQ03C2","Total Floor Area for which Permission Granted","19781","1978Q1","2","Extensions","000 Sq Metres","168"
"BHQ03C2","Total Floor Area for which Permission Granted","19781","1978Q1","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19782","1978Q2","-","All types of construction","000 Sq Metres","1529"
"BHQ03C2","Total Floor Area for which Permission Granted","19782","1978Q2","11","Dwellings","000 Sq Metres","949"
"BHQ03C2","Total Floor Area for which Permission Granted","19782","1978Q2","12","Other new construction (excluding dwellings)","000 Sq Metres","404"
"BHQ03C2","Total Floor Area for which Permission Granted","19782","1978Q2","2","Extensions","000 Sq Metres","176"
"BHQ03C2","Total Floor Area for which Permission Granted","19782","1978Q2","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19783","1978Q3","-","All types of construction","000 Sq Metres","1340"
"BHQ03C2","Total Floor Area for which Permission Granted","19783","1978Q3","11","Dwellings","000 Sq Metres","872"
"BHQ03C2","Total Floor Area for which Permission Granted","19783","1978Q3","12","Other new construction (excluding dwellings)","000 Sq Metres","265"
"BHQ03C2","Total Floor Area for which Permission Granted","19783","1978Q3","2","Extensions","000 Sq Metres","203"
"BHQ03C2","Total Floor Area for which Permission Granted","19783","1978Q3","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19784","1978Q4","-","All types of construction","000 Sq Metres","1272"
"BHQ03C2","Total Floor Area for which Permission Granted","19784","1978Q4","11","Dwellings","000 Sq Metres","727"
"BHQ03C2","Total Floor Area for which Permission Granted","19784","1978Q4","12","Other new construction (excluding dwellings)","000 Sq Metres","407"
"BHQ03C2","Total Floor Area for which Permission Granted","19784","1978Q4","2","Extensions","000 Sq Metres","138"
"BHQ03C2","Total Floor Area for which Permission Granted","19784","1978Q4","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19791","1979Q1","-","All types of construction","000 Sq Metres","1539"
"BHQ03C2","Total Floor Area for which Permission Granted","19791","1979Q1","11","Dwellings","000 Sq Metres","919"
"BHQ03C2","Total Floor Area for which Permission Granted","19791","1979Q1","12","Other new construction (excluding dwellings)","000 Sq Metres","457"
"BHQ03C2","Total Floor Area for which Permission Granted","19791","1979Q1","2","Extensions","000 Sq Metres","163"
"BHQ03C2","Total Floor Area for which Permission Granted","19791","1979Q1","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19792","1979Q2","-","All types of construction","000 Sq Metres","1750"
"BHQ03C2","Total Floor Area for which Permission Granted","19792","1979Q2","11","Dwellings","000 Sq Metres","1407"
"BHQ03C2","Total Floor Area for which Permission Granted","19792","1979Q2","12","Other new construction (excluding dwellings)","000 Sq Metres","488"
"BHQ03C2","Total Floor Area for which Permission Granted","19792","1979Q2","2","Extensions","000 Sq Metres","215"
"BHQ03C2","Total Floor Area for which Permission Granted","19792","1979Q2","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19793","1979Q3","-","All types of construction","000 Sq Metres","2003"
"BHQ03C2","Total Floor Area for which Permission Granted","19793","1979Q3","11","Dwellings","000 Sq Metres","1097"
"BHQ03C2","Total Floor Area for which Permission Granted","19793","1979Q3","12","Other new construction (excluding dwellings)","000 Sq Metres","653"
"BHQ03C2","Total Floor Area for which Permission Granted","19793","1979Q3","2","Extensions","000 Sq Metres","253"
"BHQ03C2","Total Floor Area for which Permission Granted","19793","1979Q3","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19794","1979Q4","-","All types of construction","000 Sq Metres","1748"
"BHQ03C2","Total Floor Area for which Permission Granted","19794","1979Q4","11","Dwellings","000 Sq Metres","1011"
"BHQ03C2","Total Floor Area for which Permission Granted","19794","1979Q4","12","Other new construction (excluding dwellings)","000 Sq Metres","505"
"BHQ03C2","Total Floor Area for which Permission Granted","19794","1979Q4","2","Extensions","000 Sq Metres","232"
"BHQ03C2","Total Floor Area for which Permission Granted","19794","1979Q4","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19801","1980Q1","-","All types of construction","000 Sq Metres","1595"
"BHQ03C2","Total Floor Area for which Permission Granted","19801","1980Q1","11","Dwellings","000 Sq Metres","892"
"BHQ03C2","Total Floor Area for which Permission Granted","19801","1980Q1","12","Other new construction (excluding dwellings)","000 Sq Metres","529"
"BHQ03C2","Total Floor Area for which Permission Granted","19801","1980Q1","2","Extensions","000 Sq Metres","174"
"BHQ03C2","Total Floor Area for which Permission Granted","19801","1980Q1","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19802","1980Q2","-","All types of construction","000 Sq Metres","1676"
"BHQ03C2","Total Floor Area for which Permission Granted","19802","1980Q2","11","Dwellings","000 Sq Metres","970"
"BHQ03C2","Total Floor Area for which Permission Granted","19802","1980Q2","12","Other new construction (excluding dwellings)","000 Sq Metres","523"
"BHQ03C2","Total Floor Area for which Permission Granted","19802","1980Q2","2","Extensions","000 Sq Metres","183"
"BHQ03C2","Total Floor Area for which Permission Granted","19802","1980Q2","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19803","1980Q3","-","All types of construction","000 Sq Metres","1735"
"BHQ03C2","Total Floor Area for which Permission Granted","19803","1980Q3","11","Dwellings","000 Sq Metres","1107"
"BHQ03C2","Total Floor Area for which Permission Granted","19803","1980Q3","12","Other new construction (excluding dwellings)","000 Sq Metres","431"
"BHQ03C2","Total Floor Area for which Permission Granted","19803","1980Q3","2","Extensions","000 Sq Metres","197"
"BHQ03C2","Total Floor Area for which Permission Granted","19803","1980Q3","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19804","1980Q4","-","All types of construction","000 Sq Metres","1505"
"BHQ03C2","Total Floor Area for which Permission Granted","19804","1980Q4","11","Dwellings","000 Sq Metres","889"
"BHQ03C2","Total Floor Area for which Permission Granted","19804","1980Q4","12","Other new construction (excluding dwellings)","000 Sq Metres","427"
"BHQ03C2","Total Floor Area for which Permission Granted","19804","1980Q4","2","Extensions","000 Sq Metres","189"
"BHQ03C2","Total Floor Area for which Permission Granted","19804","1980Q4","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19811","1981Q1","-","All types of construction","000 Sq Metres","1274"
"BHQ03C2","Total Floor Area for which Permission Granted","19811","1981Q1","11","Dwellings","000 Sq Metres","789"
"BHQ03C2","Total Floor Area for which Permission Granted","19811","1981Q1","12","Other new construction (excluding dwellings)","000 Sq Metres","340"
"BHQ03C2","Total Floor Area for which Permission Granted","19811","1981Q1","2","Extensions","000 Sq Metres","145"
"BHQ03C2","Total Floor Area for which Permission Granted","19811","1981Q1","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19812","1981Q2","-","All types of construction","000 Sq Metres","1543"
"BHQ03C2","Total Floor Area for which Permission Granted","19812","1981Q2","11","Dwellings","000 Sq Metres","1034"
"BHQ03C2","Total Floor Area for which Permission Granted","19812","1981Q2","12","Other new construction (excluding dwellings)","000 Sq Metres","368"
"BHQ03C2","Total Floor Area for which Permission Granted","19812","1981Q2","2","Extensions","000 Sq Metres","141"
"BHQ03C2","Total Floor Area for which Permission Granted","19812","1981Q2","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19813","1981Q3","-","All types of construction","000 Sq Metres","2190"
"BHQ03C2","Total Floor Area for which Permission Granted","19813","1981Q3","11","Dwellings","000 Sq Metres","1540"
"BHQ03C2","Total Floor Area for which Permission Granted","19813","1981Q3","12","Other new construction (excluding dwellings)","000 Sq Metres","455"
"BHQ03C2","Total Floor Area for which Permission Granted","19813","1981Q3","2","Extensions","000 Sq Metres","195"
"BHQ03C2","Total Floor Area for which Permission Granted","19813","1981Q3","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19814","1981Q4","-","All types of construction","000 Sq Metres","1431"
"BHQ03C2","Total Floor Area for which Permission Granted","19814","1981Q4","11","Dwellings","000 Sq Metres","813"
"BHQ03C2","Total Floor Area for which Permission Granted","19814","1981Q4","12","Other new construction (excluding dwellings)","000 Sq Metres","474"
"BHQ03C2","Total Floor Area for which Permission Granted","19814","1981Q4","2","Extensions","000 Sq Metres","144"
"BHQ03C2","Total Floor Area for which Permission Granted","19814","1981Q4","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19821","1982Q1","-","All types of construction","000 Sq Metres","1707"
"BHQ03C2","Total Floor Area for which Permission Granted","19821","1982Q1","11","Dwellings","000 Sq Metres","1114"
"BHQ03C2","Total Floor Area for which Permission Granted","19821","1982Q1","12","Other new construction (excluding dwellings)","000 Sq Metres","431"
"BHQ03C2","Total Floor Area for which Permission Granted","19821","1982Q1","2","Extensions","000 Sq Metres","162"
"BHQ03C2","Total Floor Area for which Permission Granted","19821","1982Q1","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19822","1982Q2","-","All types of construction","000 Sq Metres","1558"
"BHQ03C2","Total Floor Area for which Permission Granted","19822","1982Q2","11","Dwellings","000 Sq Metres","946"
"BHQ03C2","Total Floor Area for which Permission Granted","19822","1982Q2","12","Other new construction (excluding dwellings)","000 Sq Metres","428"
"BHQ03C2","Total Floor Area for which Permission Granted","19822","1982Q2","2","Extensions","000 Sq Metres","184"
"BHQ03C2","Total Floor Area for which Permission Granted","19822","1982Q2","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19823","1982Q3","-","All types of construction","000 Sq Metres","1529"
"BHQ03C2","Total Floor Area for which Permission Granted","19823","1982Q3","11","Dwellings","000 Sq Metres","936"
"BHQ03C2","Total Floor Area for which Permission Granted","19823","1982Q3","12","Other new construction (excluding dwellings)","000 Sq Metres","420"
"BHQ03C2","Total Floor Area for which Permission Granted","19823","1982Q3","2","Extensions","000 Sq Metres","173"
"BHQ03C2","Total Floor Area for which Permission Granted","19823","1982Q3","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19824","1982Q4","-","All types of construction","000 Sq Metres","1470"
"BHQ03C2","Total Floor Area for which Permission Granted","19824","1982Q4","11","Dwellings","000 Sq Metres","919"
"BHQ03C2","Total Floor Area for which Permission Granted","19824","1982Q4","12","Other new construction (excluding dwellings)","000 Sq Metres","391"
"BHQ03C2","Total Floor Area for which Permission Granted","19824","1982Q4","2","Extensions","000 Sq Metres","160"
"BHQ03C2","Total Floor Area for which Permission Granted","19824","1982Q4","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19831","1983Q1","-","All types of construction","000 Sq Metres","1303"
"BHQ03C2","Total Floor Area for which Permission Granted","19831","1983Q1","11","Dwellings","000 Sq Metres","836"
"BHQ03C2","Total Floor Area for which Permission Granted","19831","1983Q1","12","Other new construction (excluding dwellings)","000 Sq Metres","341"
"BHQ03C2","Total Floor Area for which Permission Granted","19831","1983Q1","2","Extensions","000 Sq Metres","125"
"BHQ03C2","Total Floor Area for which Permission Granted","19831","1983Q1","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19832","1983Q2","-","All types of construction","000 Sq Metres","1683"
"BHQ03C2","Total Floor Area for which Permission Granted","19832","1983Q2","11","Dwellings","000 Sq Metres","1120"
"BHQ03C2","Total Floor Area for which Permission Granted","19832","1983Q2","12","Other new construction (excluding dwellings)","000 Sq Metres","359"
"BHQ03C2","Total Floor Area for which Permission Granted","19832","1983Q2","2","Extensions","000 Sq Metres","203"
"BHQ03C2","Total Floor Area for which Permission Granted","19832","1983Q2","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19833","1983Q3","-","All types of construction","000 Sq Metres","1667"
"BHQ03C2","Total Floor Area for which Permission Granted","19833","1983Q3","11","Dwellings","000 Sq Metres","1188"
"BHQ03C2","Total Floor Area for which Permission Granted","19833","1983Q3","12","Other new construction (excluding dwellings)","000 Sq Metres","270"
"BHQ03C2","Total Floor Area for which Permission Granted","19833","1983Q3","2","Extensions","000 Sq Metres","209"
"BHQ03C2","Total Floor Area for which Permission Granted","19833","1983Q3","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19834","1983Q4","-","All types of construction","000 Sq Metres","983"
"BHQ03C2","Total Floor Area for which Permission Granted","19834","1983Q4","11","Dwellings","000 Sq Metres","642"
"BHQ03C2","Total Floor Area for which Permission Granted","19834","1983Q4","12","Other new construction (excluding dwellings)","000 Sq Metres","214"
"BHQ03C2","Total Floor Area for which Permission Granted","19834","1983Q4","2","Extensions","000 Sq Metres","126"
"BHQ03C2","Total Floor Area for which Permission Granted","19834","1983Q4","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19841","1984Q1","-","All types of construction","000 Sq Metres","954"
"BHQ03C2","Total Floor Area for which Permission Granted","19841","1984Q1","11","Dwellings","000 Sq Metres","661"
"BHQ03C2","Total Floor Area for which Permission Granted","19841","1984Q1","12","Other new construction (excluding dwellings)","000 Sq Metres","135"
"BHQ03C2","Total Floor Area for which Permission Granted","19841","1984Q1","2","Extensions","000 Sq Metres","157"
"BHQ03C2","Total Floor Area for which Permission Granted","19841","1984Q1","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19842","1984Q2","-","All types of construction","000 Sq Metres","970"
"BHQ03C2","Total Floor Area for which Permission Granted","19842","1984Q2","11","Dwellings","000 Sq Metres","599"
"BHQ03C2","Total Floor Area for which Permission Granted","19842","1984Q2","12","Other new construction (excluding dwellings)","000 Sq Metres","217"
"BHQ03C2","Total Floor Area for which Permission Granted","19842","1984Q2","2","Extensions","000 Sq Metres","154"
"BHQ03C2","Total Floor Area for which Permission Granted","19842","1984Q2","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19843","1984Q3","-","All types of construction","000 Sq Metres","962"
"BHQ03C2","Total Floor Area for which Permission Granted","19843","1984Q3","11","Dwellings","000 Sq Metres","634"
"BHQ03C2","Total Floor Area for which Permission Granted","19843","1984Q3","12","Other new construction (excluding dwellings)","000 Sq Metres","152"
"BHQ03C2","Total Floor Area for which Permission Granted","19843","1984Q3","2","Extensions","000 Sq Metres","176"
"BHQ03C2","Total Floor Area for which Permission Granted","19843","1984Q3","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19844","1984Q4","-","All types of construction","000 Sq Metres","873"
"BHQ03C2","Total Floor Area for which Permission Granted","19844","1984Q4","11","Dwellings","000 Sq Metres","567"
"BHQ03C2","Total Floor Area for which Permission Granted","19844","1984Q4","12","Other new construction (excluding dwellings)","000 Sq Metres","146"
"BHQ03C2","Total Floor Area for which Permission Granted","19844","1984Q4","2","Extensions","000 Sq Metres","161"
"BHQ03C2","Total Floor Area for which Permission Granted","19844","1984Q4","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19851","1985Q1","-","All types of construction","000 Sq Metres","808"
"BHQ03C2","Total Floor Area for which Permission Granted","19851","1985Q1","11","Dwellings","000 Sq Metres","518"
"BHQ03C2","Total Floor Area for which Permission Granted","19851","1985Q1","12","Other new construction (excluding dwellings)","000 Sq Metres","137"
"BHQ03C2","Total Floor Area for which Permission Granted","19851","1985Q1","2","Extensions","000 Sq Metres","154"
"BHQ03C2","Total Floor Area for which Permission Granted","19851","1985Q1","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19852","1985Q2","-","All types of construction","000 Sq Metres","986"
"BHQ03C2","Total Floor Area for which Permission Granted","19852","1985Q2","11","Dwellings","000 Sq Metres","604"
"BHQ03C2","Total Floor Area for which Permission Granted","19852","1985Q2","12","Other new construction (excluding dwellings)","000 Sq Metres","217"
"BHQ03C2","Total Floor Area for which Permission Granted","19852","1985Q2","2","Extensions","000 Sq Metres","166"
"BHQ03C2","Total Floor Area for which Permission Granted","19852","1985Q2","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19853","1985Q3","-","All types of construction","000 Sq Metres","932"
"BHQ03C2","Total Floor Area for which Permission Granted","19853","1985Q3","11","Dwellings","000 Sq Metres","531"
"BHQ03C2","Total Floor Area for which Permission Granted","19853","1985Q3","12","Other new construction (excluding dwellings)","000 Sq Metres","184"
"BHQ03C2","Total Floor Area for which Permission Granted","19853","1985Q3","2","Extensions","000 Sq Metres","218"
"BHQ03C2","Total Floor Area for which Permission Granted","19853","1985Q3","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19854","1985Q4","-","All types of construction","000 Sq Metres","809"
"BHQ03C2","Total Floor Area for which Permission Granted","19854","1985Q4","11","Dwellings","000 Sq Metres","458"
"BHQ03C2","Total Floor Area for which Permission Granted","19854","1985Q4","12","Other new construction (excluding dwellings)","000 Sq Metres","174"
"BHQ03C2","Total Floor Area for which Permission Granted","19854","1985Q4","2","Extensions","000 Sq Metres","177"
"BHQ03C2","Total Floor Area for which Permission Granted","19854","1985Q4","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19861","1986Q1","-","All types of construction","000 Sq Metres","798"
"BHQ03C2","Total Floor Area for which Permission Granted","19861","1986Q1","11","Dwellings","000 Sq Metres","377"
"BHQ03C2","Total Floor Area for which Permission Granted","19861","1986Q1","12","Other new construction (excluding dwellings)","000 Sq Metres","281"
"BHQ03C2","Total Floor Area for which Permission Granted","19861","1986Q1","2","Extensions","000 Sq Metres","139"
"BHQ03C2","Total Floor Area for which Permission Granted","19861","1986Q1","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19862","1986Q2","-","All types of construction","000 Sq Metres","821"
"BHQ03C2","Total Floor Area for which Permission Granted","19862","1986Q2","11","Dwellings","000 Sq Metres","387"
"BHQ03C2","Total Floor Area for which Permission Granted","19862","1986Q2","12","Other new construction (excluding dwellings)","000 Sq Metres","221"
"BHQ03C2","Total Floor Area for which Permission Granted","19862","1986Q2","2","Extensions","000 Sq Metres","214"
"BHQ03C2","Total Floor Area for which Permission Granted","19862","1986Q2","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19863","1986Q3","-","All types of construction","000 Sq Metres","795"
"BHQ03C2","Total Floor Area for which Permission Granted","19863","1986Q3","11","Dwellings","000 Sq Metres","404"
"BHQ03C2","Total Floor Area for which Permission Granted","19863","1986Q3","12","Other new construction (excluding dwellings)","000 Sq Metres","175"
"BHQ03C2","Total Floor Area for which Permission Granted","19863","1986Q3","2","Extensions","000 Sq Metres","216"
"BHQ03C2","Total Floor Area for which Permission Granted","19863","1986Q3","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19864","1986Q4","-","All types of construction","000 Sq Metres","719"
"BHQ03C2","Total Floor Area for which Permission Granted","19864","1986Q4","11","Dwellings","000 Sq Metres","369"
"BHQ03C2","Total Floor Area for which Permission Granted","19864","1986Q4","12","Other new construction (excluding dwellings)","000 Sq Metres","163"
"BHQ03C2","Total Floor Area for which Permission Granted","19864","1986Q4","2","Extensions","000 Sq Metres","188"
"BHQ03C2","Total Floor Area for which Permission Granted","19864","1986Q4","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19871","1987Q1","-","All types of construction","000 Sq Metres","699"
"BHQ03C2","Total Floor Area for which Permission Granted","19871","1987Q1","11","Dwellings","000 Sq Metres","363"
"BHQ03C2","Total Floor Area for which Permission Granted","19871","1987Q1","12","Other new construction (excluding dwellings)","000 Sq Metres","141"
"BHQ03C2","Total Floor Area for which Permission Granted","19871","1987Q1","2","Extensions","000 Sq Metres","195"
"BHQ03C2","Total Floor Area for which Permission Granted","19871","1987Q1","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19872","1987Q2","-","All types of construction","000 Sq Metres","767"
"BHQ03C2","Total Floor Area for which Permission Granted","19872","1987Q2","11","Dwellings","000 Sq Metres","382"
"BHQ03C2","Total Floor Area for which Permission Granted","19872","1987Q2","12","Other new construction (excluding dwellings)","000 Sq Metres","174"
"BHQ03C2","Total Floor Area for which Permission Granted","19872","1987Q2","2","Extensions","000 Sq Metres","211"
"BHQ03C2","Total Floor Area for which Permission Granted","19872","1987Q2","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19873","1987Q3","-","All types of construction","000 Sq Metres","888"
"BHQ03C2","Total Floor Area for which Permission Granted","19873","1987Q3","11","Dwellings","000 Sq Metres","458"
"BHQ03C2","Total Floor Area for which Permission Granted","19873","1987Q3","12","Other new construction (excluding dwellings)","000 Sq Metres","251"
"BHQ03C2","Total Floor Area for which Permission Granted","19873","1987Q3","2","Extensions","000 Sq Metres","179"
"BHQ03C2","Total Floor Area for which Permission Granted","19873","1987Q3","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19874","1987Q4","-","All types of construction","000 Sq Metres","701"
"BHQ03C2","Total Floor Area for which Permission Granted","19874","1987Q4","11","Dwellings","000 Sq Metres","310"
"BHQ03C2","Total Floor Area for which Permission Granted","19874","1987Q4","12","Other new construction (excluding dwellings)","000 Sq Metres","228"
"BHQ03C2","Total Floor Area for which Permission Granted","19874","1987Q4","2","Extensions","000 Sq Metres","163"
"BHQ03C2","Total Floor Area for which Permission Granted","19874","1987Q4","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19881","1988Q1","-","All types of construction","000 Sq Metres","703"
"BHQ03C2","Total Floor Area for which Permission Granted","19881","1988Q1","11","Dwellings","000 Sq Metres","328"
"BHQ03C2","Total Floor Area for which Permission Granted","19881","1988Q1","12","Other new construction (excluding dwellings)","000 Sq Metres","247"
"BHQ03C2","Total Floor Area for which Permission Granted","19881","1988Q1","2","Extensions","000 Sq Metres","127"
"BHQ03C2","Total Floor Area for which Permission Granted","19881","1988Q1","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19882","1988Q2","-","All types of construction","000 Sq Metres","773"
"BHQ03C2","Total Floor Area for which Permission Granted","19882","1988Q2","11","Dwellings","000 Sq Metres","358"
"BHQ03C2","Total Floor Area for which Permission Granted","19882","1988Q2","12","Other new construction (excluding dwellings)","000 Sq Metres","276"
"BHQ03C2","Total Floor Area for which Permission Granted","19882","1988Q2","2","Extensions","000 Sq Metres","139"
"BHQ03C2","Total Floor Area for which Permission Granted","19882","1988Q2","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19883","1988Q3","-","All types of construction","000 Sq Metres","867"
"BHQ03C2","Total Floor Area for which Permission Granted","19883","1988Q3","11","Dwellings","000 Sq Metres","425"
"BHQ03C2","Total Floor Area for which Permission Granted","19883","1988Q3","12","Other new construction (excluding dwellings)","000 Sq Metres","282"
"BHQ03C2","Total Floor Area for which Permission Granted","19883","1988Q3","2","Extensions","000 Sq Metres","159"
"BHQ03C2","Total Floor Area for which Permission Granted","19883","1988Q3","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19884","1988Q4","-","All types of construction","000 Sq Metres","874"
"BHQ03C2","Total Floor Area for which Permission Granted","19884","1988Q4","11","Dwellings","000 Sq Metres","404"
"BHQ03C2","Total Floor Area for which Permission Granted","19884","1988Q4","12","Other new construction (excluding dwellings)","000 Sq Metres","307"
"BHQ03C2","Total Floor Area for which Permission Granted","19884","1988Q4","2","Extensions","000 Sq Metres","164"
"BHQ03C2","Total Floor Area for which Permission Granted","19884","1988Q4","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19891","1989Q1","-","All types of construction","000 Sq Metres","1007"
"BHQ03C2","Total Floor Area for which Permission Granted","19891","1989Q1","11","Dwellings","000 Sq Metres","484"
"BHQ03C2","Total Floor Area for which Permission Granted","19891","1989Q1","12","Other new construction (excluding dwellings)","000 Sq Metres","377"
"BHQ03C2","Total Floor Area for which Permission Granted","19891","1989Q1","2","Extensions","000 Sq Metres","145"
"BHQ03C2","Total Floor Area for which Permission Granted","19891","1989Q1","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19892","1989Q2","-","All types of construction","000 Sq Metres","1272"
"BHQ03C2","Total Floor Area for which Permission Granted","19892","1989Q2","11","Dwellings","000 Sq Metres","600"
"BHQ03C2","Total Floor Area for which Permission Granted","19892","1989Q2","12","Other new construction (excluding dwellings)","000 Sq Metres","451"
"BHQ03C2","Total Floor Area for which Permission Granted","19892","1989Q2","2","Extensions","000 Sq Metres","221"
"BHQ03C2","Total Floor Area for which Permission Granted","19892","1989Q2","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19893","1989Q3","-","All types of construction","000 Sq Metres","1494"
"BHQ03C2","Total Floor Area for which Permission Granted","19893","1989Q3","11","Dwellings","000 Sq Metres","703"
"BHQ03C2","Total Floor Area for which Permission Granted","19893","1989Q3","12","Other new construction (excluding dwellings)","000 Sq Metres","577"
"BHQ03C2","Total Floor Area for which Permission Granted","19893","1989Q3","2","Extensions","000 Sq Metres","214"
"BHQ03C2","Total Floor Area for which Permission Granted","19893","1989Q3","3","Alteration, conversion and renovation","000 Sq Metres",""
"BHQ03C2","Total Floor Area for which Permission Granted","19894","1989Q4","-","All types of construction","000 Sq Metres","1273"
