"STATISTIC","Statistic Label","TLIST(M1)","Month","C01947V02657","Local Authority","C02424V02930","Residential Units Commenced","UNIT","VALUE"
"HSM13","Commencement Notices","201403","2014 March","29","Cork (City Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","30","Dublin (City Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","30","Dublin (City Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","30","Dublin (City Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","32","Dun Laoire/Rathdown (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","32","Dun Laoire/Rathdown (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","32","Dun Laoire/Rathdown (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","33","Galway (City Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","33","Galway (City Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","33","Galway (City Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","88","South Dublin Co. Co. (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","88","South Dublin Co. Co. (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","88","South Dublin Co. Co. (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","90","Limerick City and County","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","90","Limerick City and County","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","90","Limerick City and County","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","91","Waterford City and County","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","91","Waterford City and County","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","91","Waterford City and County","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","92","Tipperary County","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201403","2014 March","92","Tipperary County","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201403","2014 March","92","Tipperary County","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","01","Carlow (County Council)","03","Number of notices for residential development","Number","1"
"HSM13","Commencement Notices","201404","2014 April","01","Carlow (County Council)","04","Number of residential units","Number","19"
"HSM13","Commencement Notices","201404","2014 April","01","Carlow (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","02","Cavan (County Council)","03","Number of notices for residential development","Number","1"
"HSM13","Commencement Notices","201404","2014 April","02","Cavan (County Council)","04","Number of residential units","Number","1"
"HSM13","Commencement Notices","201404","2014 April","02","Cavan (County Council)","05","Number of one-off residential units","Number","1"
"HSM13","Commencement Notices","201404","2014 April","03","Clare (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201404","2014 April","03","Clare (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","03","Clare (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201404","2014 April","04","Cork (County Council)","03","Number of notices for residential development","Number","2"
"HSM13","Commencement Notices","201404","2014 April","04","Cork (County Council)","04","Number of residential units","Number","11"
"HSM13","Commencement Notices","201404","2014 April","04","Cork (County Council)","05","Number of one-off residential units","Number","1"
"HSM13","Commencement Notices","201404","2014 April","05","Donegal (County Council)","03","Number of notices for residential development","Number","2"
"HSM13","Commencement Notices","201404","2014 April","05","Donegal (County Council)","04","Number of residential units","Number","2"
"HSM13","Commencement Notices","201404","2014 April","05","Donegal (County Council)","05","Number of one-off residential units","Number","2"
"HSM13","Commencement Notices","201404","2014 April","06","Fingal (County Council)","03","Number of notices for residential development","Number","1"
"HSM13","Commencement Notices","201404","2014 April","06","Fingal (County Council)","04","Number of residential units","Number","1"
"HSM13","Commencement Notices","201404","2014 April","06","Fingal (County Council)","05","Number of one-off residential units","Number","1"
"HSM13","Commencement Notices","201404","2014 April","07","Galway (County Council)","03","Number of notices for residential development","Number","2"
"HSM13","Commencement Notices","201404","2014 April","07","Galway (County Council)","04","Number of residential units","Number","2"
"HSM13","Commencement Notices","201404","2014 April","07","Galway (County Council)","05","Number of one-off residential units","Number","2"
"HSM13","Commencement Notices","201404","2014 April","08","Kerry (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201404","2014 April","08","Kerry (County Council)","04","Number of residential units","Number","0"
